Name,BSE Code,NSE Code
Alan Scott Ente.,539115,
Alankit,531082,ALANKIT
Albert David,524075,ALBERTDAVD
Alchemist Corp.,531409,
Alcokraft Dist.,,ALCODIS
Alembic,506235,ALEMBICLTD
Alembic Pharma,533573,APLLTD
Alexander Stamps,511463,
Alfa Ica (I),530973,
Alfa Transformer,517546,
Alfavision Overs,531156,
Alfred Herbert,505216,
Algoquant Fin,505725,
Alicon Cast.,531147,ALICON
Alivus Life,543322,ALIVUS
Alkali Metals,533029,ALKALI
Alkem Lab,539523,ALKEM
Alkosign,543453,
Alkyl Amines,506767,ALKYLAMINE
All E Tech,,ALLETEC
All Time Plastic,544479,ALLTIME
Allcargo Logist.,532749,ALLCARGO
Allcargo Termi,543954,ATL
Alldigi Tech,532633,ALLDIGI
Alliance Integ.,534064,
Allied Blenders,544203,ABDL
Allied Digital,532875,ADSL
Almondz Global,531400,ALMONDZ
Alok Industries,521070,ALOKINDS
Alpa Laboratorie,532878,ALPA
Alpex Solar,,ALPEXSOLAR
Alphageo (India),526397,ALPHAGEO
Alphalogic Indu,543937,
Alphalogic Tech.,542770,
Alpine Housing,526519,
Alps Industries,530715,ALPSINDUS
Alstone Textiles,539277,
Altius Telecom,543225,
Alufluoride,524634,
Aluwind Infra,,ALUWIND
Amal,506597,
Amalgamated Elec,501622,
Amanaya Ventures,543804,
Amanta Healthcar,544502,AMANTA
Amara Raja Ener.,500008,ARE&M
Amarjothi Spg.,521097,
Amarnath Sec.,538465,
Amba Enterprises,539196,
Ambalal Sarabhai,500009,
Ambani Orgochem,,AMBANIORGO
Ambar Protein,519471,
Ambassador Intra,542524,
Amber Enterp.,540902,AMBER
Ambey Laborator.,,AMBEY
Ambica Agarbat.,532335,AMBICAAGAR
Ambika Cotton,531978,AMBIKCO
Ambitious Plasto,526439,
Ambo Agritec,543678,
Ambuja Cements,500425,AMBUJACEM
Amco India,530133,
AMD Industries,532828,AMDIND
Ameenji Rubber,544555,
Amerise BioScie,531681,
Ameya Precision,,AMEYA
Amforge Inds.,513117,
Amiable Logistic,,AMIABLE
Amic Forging,544037,
Amin Tannery,541771,
Amines & Plast.,506248,AMNPLST
Amit Internation,531300,
Amit Securities,531557,
AMJ Land Holdin.,500343,AMJLAND
Amkay Products,544169,
Ampvolts,535719,
Amrapali Inds.,526241,
Amraworld Agrico,531991,
Amrutanjan Healt,590006,AMRUTANJAN
Amwill Health,544353,
Anand Rathi Shar,544530,ARSSBL
Anand Rathi Wea.,543415,ANANDRATHI
Anand Rayons,542721,
Anant Raj,515055,ANANTRAJ
Anantam Highways,544579,ANANTAM
ANB Metal,,AMCL
Andhra Cements,532141,ACL
Andhra Paper,502330,ANDHRAPAP
Andhra Petrochem,500012,
Andhra Sugars,590062,ANDHRSUGAR
Andrew Yule & Co,526173,ANDREWYU
ANG Lifesciences,540694,
Angel One,543235,ANGELONE
ANI Integrated,,AISL
Anik Industries,519383,ANIKINDS
Anirit Ventures,530705,
Anjani Finance,531878,
Anjani Foods,511153,
Anjani Portland,518091,APCL
Anjani Synth.,531223,
Anka India,531673,
Ankit Met.Power,532870,ANKITMETAL
Anlon Healthcare,544497,AHCL
Anlon Tech,,ANLON
Anmol India,542437,ANMOL
Anna Infrastruct,530799,
Annapurna Swadi.,,ANNAPURNA
Annvrridhhi Ven,538539,
Anondita Medi.,,ANONDITA
ANS Industries,531406,
Ansal Buildwell,523007,
Ansal Housing,507828,
Ansal Properties,500013,ANSALAPI
Antarctica,,ANTGRAPHIC
Antelopus Selan,530075,ANTELOPUS
Anthem Bioscienc,544449,ANTHEM
Antony Waste han,543254,AWHCL
Anuh Pharma,506260,ANUHPHR
Anupam Finserv,530109,
Anupam Rasayan,543275,ANURAS
Anuroop Packagin,542865,
Anya Polytech &,,ANYA
Anzen IYEP Trust,543655,ANZEN
Apar Inds.,532259,APARINDS
Apcotex Industri,523694,APCOTEXIND
Apeejay Surrend.,544111,PARKHOTELS
Apex Ecotech,,APEXECO
Apex Frozen Food,540692,APEX
Apis India,506166,
APL Apollo Tubes,533758,APLAPOLLO
Aplab,517096,
APM Industries,523537,
Apollo Finvest,512437,
Apollo Hospitals,508869,APOLLOHOSP
Apollo Ingredie.,503639,
Apollo Micro Sys,540879,APOLLO
Apollo Pipes,531761,APOLLOPIPE
Apollo Sindoori,,APOLSINHOT
Apollo Tyres,500877,APOLLOTYRE
Apoorva Leasing,539545,
Aprameya Enginee,,APRAMEYA
Apt Packaging,506979,
Aptech,532475,APTECHT
Aptus Pharma,544529,
Aptus Value Hou.,543335,APTUS
Arabian Petrol.,,ARABIAN
Aravali Sec,512344,
ARC Finance,540135,
ARC Insulation,,ARCIIL
Arcee Industries,520121,
Archean Chemical,543657,ACI
Archidply Decor,543231,ADL
Archidply Inds.,532994,ARCHIDPLY
Archies,532212,ARCHIES
Archit Organosys,524640,
ARCL Organics,543993,
Arex Industries,526851,
Arfin India,539151,ARFIN
Arham Tech,,ARHAM
Aries Agro,532935,ARIES
Arigato Universe,530267,
Arih.Found.Hsg.,531381,
Arihant Academy,,ARIHANTACA
Arihant Capital,511605,ARIHANTCAP
Arihant Super.,506194,ARIHANTSUP
Arihant's Secur.,531017,
Aris Interna.,531677,
Arisinfra Solu.,544419,ARISINFRA
Aristo Bio-Tech,,ARISTO
Arkade,544261,ARKADE
Arman Financial,531179,ARMANFIN
Arman Holdings,538556,
Arnold Holdings,537069,
Aro Granite Inds,513729,AROGRANITE
Arrow Greentech,516064,ARROWGREEN
Arrowhead Sepera,544025,
Arshiya,506074,ARSHIYA
Art Nirman Ltd,,ARTNIRMAN
Artefact Project,531297,
Artemis Electri.,542670,
Artemis Medicare,542919,ARTEMISMED
Artificial Elect,526443,
Artson,522134,
Aruna Hotels,500016,
Arunaya Organics,,ARUNAYA
Arunis Abode,526935,
Arunjyoti Bio,530881,
Arvee Laborat.,,ARVEE
Arvind Fashions.,542484,ARVINDFASN
Arvind Ltd,500101,ARVIND
Arvind Port &,,ARVINDPORT
Arvind SmartSp.,539301,ARVSMART
Aryaman Capital,538716,
Aryaman Fin.Serv,530245,
Aryan Share,542176,
Aryavan Enterprise,539455,
Asahi India Glas,515030,ASAHIINDIA
Asahi Songwon,532853,ASAHISONG
Asarfi Hospital,543943,
Ascensive Educa.,543443,
Ascom Leasing &,,ASCOM
Ashapura Logi.,,ASHALOG
Ashapura Minech.,527001,ASHAPURMIN
Ashapuri Gold,542579,
Ashiana Agro Ind,519174,
Ashiana Housing,523716,ASHIANA
Ashiana Ispat,513401,
Ashika Credit,543766,
Ashima,514286,ASHIMASYN
Ashirwad Cap.,512247,
Ashirwad Steels,526847,
Ashish Polyplast,530429,
Ashnisha Indus.,541702,
Ashnoor Textile,507872,
Ashok Leyland,500477,ASHOKLEY
Ashoka Buildcon,533271,ASHOKA
Ashoka Metcast,540923,ASHOKAMET
Ashoka Refinerie,526983,
Ashram Online,526187,
Ashtasidhhi Ind,531341,
Ashwini Contain.,,
Asi Industries,502015,
Asia Pack,530899,
Asian Energy,530355,ASIANENE
Asian Granito,532888,ASIANTILES
Asian Hotels (E),533227,AHLEAST
Asian Hotels (N),500023,ASIANHOTNR
Asian Paints,500820,ASIANPAINT
Asian Petroprod.,524434,
Asian Star Co.,531847,
Asian Tea & Exp,519532,
Asian Warehous.,543927,
Asit C Mehta Fin,530723,
ASK Automotive,544022,ASKAUTOLTD
ASL Industries,,ASLIND
ASM Technologies,526433,
Aspinwall & Co,,ASPINWALL
Aspira Pathlab,540788,
Aspire & Innovat,,ASPIRE
Assam Entrade,542911,
Assoc.Alcohols,507526,ASALCBR
Associated Cera.,531168,
Associated Coat.,544183,
Asston Pharmaceu,544445,
Astal Lab,512600,
Astec Lifescienc,533138,ASTEC
Aster DM Health.,540975,ASTERDM
Astonea Labs,544409,
Astra Microwave,532493,ASTRAMICRO
Astral,532830,ASTRAL
Astrazeneca Phar,506820,ASTRAZEN
Astron,544628,
Astron Paper,540824,ASTRON
Atal Realtech,543911,ATALREAL
Atam Valves,543236,ATAM
ATC Energies,,ATCENERGY
Aten Papers,544417,
Atharv Enter,530187,
Athena Construc.,539099,
Athena Global,517429,
Ather Energy,544397,ATHERENERG
Atishay,538713,
Atlanta Electric,544527,ATLANTAELE
Atlantaa,532759,ATLANTAA
Atlas Cycles,505029,ATLASCYCLE
Atmastco Ltd,,ATMASTCO
Atul,500027,ATUL
Atul Auto,531795,ATULAUTO
ATV Projects,500028,
Atvo Enterprises,532090,
AU Small Finance,540611,AUBANK
Auri Grow India,,AURIGROW
Aurionpro Sol.,532668,AURIONPRO
Auro Impex,,AUROIMPEX
Auro Labs.,530233,
Aurobindo Pharma,524804,AUROPHARMA
Aurum Proptech,539289,AURUM
Ausom Enter.,509009,AUSOMENT
Austere Sys.,544505,
Austin Engg Co,522005,
Australian Prem,,APS
Authum Invest,539177,AIIL
Auto Pins (I),531994,
Auto.Corp.of Goa,505036,
Autoline Industr,532797,AUTOIND
Automotive Axles,505010,AUTOAXLES
Automotive Stamp,520119,ASAL
Autoriders Intl.,512277,
Avadh Sugar,540649,AVADHSUGAR
Available Fin.,531310,
Avalon Tech,543896,AVALON
Avance Tech.,512149,
Avantel,532406,AVANTEL
Avanti Feeds,512573,AVANTIFEED
Avasara Finance,511730,
Avax Apparels,544337,
Aveer Foods,543737,
Avenue Super.,540376,DMART
AVG Logistics,543910,AVG
Avi Ansh,,AVIANSH
AVI Polymers,539288,
AVI Products,523896,
Avishkar Infra,508929,
Aviva Industries,512109,
Avonmore Capital,511589,AVONMORE
AVP Infracon,,AVPINFRA
Avro India,543512,AVROIND
AVSL Industries,,AVSL
AVT Natural Prod,519105,AVTNPL
AWFIS Space,544181,AWFIS
AWL Agri Busine.,543458,AWL
Axel Polymers,513642,
Axis Bank,532215,AXISBANK
Axis Solution,511144,
AXISCADES Tech.,532395,AXISCADES
Axita Cotton,542285,AXITA
Axtel Industries,523850,
AYM Syntex,508933,AYMSYNTEX
Azad Engineering,544061,AZAD
Azad India,504731,
Aztec Fluids,544177,
B & A,508136,
B & A Packaging,523186,
B C C Fuba India,517246,
B H E L,500103,BHEL
B J Duplex Board,531647,
B N Rathi Sec.,523019,
B P C L,500547,BPCL
B P Capital,536965,
B-Right Real,543543,
B. D. Industries,544468,
B.A.G. Converge.,,BAGDIGITAL
B.C. Power,537766,BCP
B.L.Kashyap,532719,BLKASHYAP
B.R.Goyal Infra.,544335,
B&B Triplewall,543668,BBTCL
B2B Soft.Tech.,531268,
Baazar Style,544243,STYLEBAAZA
Baba Arts,532380,
Baba Food,,BABAFP
Bacil Pharma,524516,
Bafna Pharma.,532989,BAFNAPH
BAG Films,532507,BAGFILMS
Baheti Recycling,,BAHETI
Baid Finserv,511724,BAIDFIN
Bajaj Auto,532977,BAJAJ-AUTO
Bajaj Consumer,533229,BAJAJCON
Bajaj Electrical,500031,BAJAJELEC
Bajaj Finance,500034,BAJFINANCE
Bajaj Finserv,532978,BAJAJFINSV
Bajaj Healthcare,539872,BAJAJHCARE
Bajaj Hindusthan,500032,BAJAJHIND
Bajaj Holdings,500490,BAJAJHLDNG
Bajaj Housing,544252,BAJAJHFL
Bajaj Steel Inds,507944,
Bajel Projects,544042,BAJEL
Bal Pharma,524824,BALPHARMA
Balaji Amines,530999,BALAMINES
Balaji Phos.,,BALAJIPHOS
Balaji Telefilms,532382,BALAJITELE
Balaxi Pharma,,BALAXI
Balgopal Commer.,539834,
Balkrishna Inds,502355,BALKRISIND
Balkrishna Paper,539251,BALKRISHNA
Balmer Law. Inv.,532485,
Balmer Lawrie,523319,BALMLAWRIE
Balrampur Chini,500038,BALRAMCHIN
Balu Forge,531112,BALUFORGE
Balurghat Tech,520127,
Bambino Agro Ind,519295,
BAMPSL Sec.,531591,
Banaras Beads,526849,BANARBEADS
Banas Finance,509053,
Banco Products,500039,BANCOINDIA
Bandaram Pharma,524602,
Bandhan Bank,541153,BANDHANBNK
Bang Overseas,532946,BANG
Banganga Paper,512025,
Bank of Baroda,532134,BANKBARODA
Bank of India,532149,BANKINDIA
Bank of Maha,532525,MAHABANK
Banka Bioloo,,BANKA
Bannari Amm Spg.,532674,BASML
Bannari Amm.Sug.,500041,BANARISUG
Bansal Roofing,538546,
Bansal Wire Inds,544209,BANSALWIRE
Bansisons Tea,519353,
Banswara Syntex,503722,BANSWRAS
Barak Valley,532916,BVCL
Barflex Polyfilm,,BARFLEX
Baroda Extrusion,513502,
Baroda Rayon,500270,
Baron Infotech,532336,
Bartronics India,532694,ASMS
Basant Agro Tech,524687,
BASF India,500042,BASF
Basilic Fly Stud,,BASILIC
Bata India,500043,BATAINDIA
Batliboi,522004,
Baweja Studios L,,BAWEJA
Bayer Crop Sci.,506285,BAYERCROP
Bazel Internatio,539946,
BCL Enterprises,539621,
BCL Industries,524332,BCLIND
BCPL Railway,542057,
BDH Industries,524828,
Beacon Trust.,,BEACON
Beardsell,,BEARDSELL
Bedmutha Indus.,533270,BEDMUTHA
Beekay Steel Ind,539018,
Beeyu Overseas,532645,
Beezaasan Exp.,544369,
Befound Movement,511585,
Bella Casa Fashi,539399,BELLACASA
Belrise Industri,544405,BELRISE
Bemco Hydraulics,522650,
BEML Land Assets,543898,BLAL
BEML Ltd,500048,BEML
Benara Bearings,541178,
Benares Hotels,509438,
Benchmark Comp.,544052,
Bengal & Assam,533095,
Bengal Tea & Fab,532230,
Berger Paints,509480,BERGEPAINT
Bervin Invest.,531340,
Beryl Drugs,524606,
Beryl Securities,531582,
Best Agrolife,539660,BESTAGRO
Best Eastern Hot,508664,
Beta Drugs Ltd,,BETA
Betex India,512477,
BEW Engg,,BEWLTD
BF Investment,533303,BFINVEST
BF Utilities,532430,BFUTILITIE
BFL Asset Finves,539662,
BGIL Films & Tec,511664,
BGR Energy Sys.,532930,BGRENERGY
Bhadora Indust.,,BHADORA
Bhagawati Oxygen,509449,
Bhageria Indust.,530803,BHAGERIA
Bhagiradha Chem.,531719,BHAGCHEM
Bhagwati Auto,504646,
Bhagyanagar Ind,512296,BHAGYANGR
Bhakti Gems,540545,
Bhandari Hosiery,512608,BHANDARI
Bhansali Engg.,500052,BEPL
Bharat Agri Fert,531862,
Bharat Bhushan,511501,
Bharat Bijlee,503960,BBL
Bharat Dynamics,541143,BDL
Bharat Electron,500049,BEL
Bharat Forge,500493,BHARATFORG
Bharat Gears,505688,BHARATGEAR
Bharat Global,521238,
Bharat Immunolog,524663,
Bharat Parenter.,541096,
Bharat Rasayan,590021,BHARATRAS
Bharat Road,540700,BRNL
Bharat Seats,523229,BHARATSE
Bharat Textiles,531029,
Bharat Wire,539799,BHARATWIRE
Bharatiya Glob.,533499,BGLOBAL
BharatRohan Air.,544535,
Bharti Airtel,532454,BHARTIARTL
Bharti Hexacom,544162,BHARTIHEXA
Bhartiya Intl.,526666,BIL
Bhaskar Agrochem,524534,
Bhatia Colour,543497,
Bhatia Communic.,540956,
Bhavik Enterpris,544551,
Bhilwara Spinner,514272,
Bhilwara Tech,533108,
Bhudevi Infra,526488,
BIGBLOC Const.,540061,BIGBLOC
Bihar Sponge,500058,
Bijoy Hans,524723,
Bikaji Foods,543653,BIKAJI
Bikewo Green,,BIKEWO
BIL Vyapar,500059,BILVYAPAR
Bilcare,526853,
Billionbrains,544603,GROWW
Billwin Indust.,543209,
Bimetal Bearings,505681,
Binayaka Tex Pr,523054,
Binny Mills,535620,
Biocon,532523,BIOCON
Biofil Chemicals,524396,BIOFILCHEM
Biogen Pharma,531752,
Birla Cable,500060,BIRLACABLE
Birla Corpn.,500335,BIRLACORPN
Birla Precision,522105,
BirlaNu Ltd,509675,BIRLANU
Birlasoft Ltd,532400,BSOFT
BITS,526709,
Bizotic Commer.,543926,
BKV Industries,519500,
Black Box,500463,BBOX
Black Rose Indus,514183,
Blackbuck,544288,BLACKBUCK
BLB,532290,BLBLIMITED
Bliss GVS Pharma,506197,BLISSGVS
Bloom Dekor,526225,
Bloom Industries,513422,
BLS E-Services,544107,BLSE
BLS Internat.,540073,BLS
BLT Logi.,544474,
Blu.Coast Hotel.,531495,BLUECOAST
Blue Chip India,531936,BLUECHIP
Blue Cloud Soft.,539607,
Blue Dart Expres,526612,BLUEDART
Blue Jet Health,544009,BLUEJET
Blue Pearl Agri,514440,
Blue Pebble,,BLUEPEBBLE
Blue Star,500067,BLUESTARCO
Blue Water,,BLUEWATER
Bluechip Tex Ind,506981,
Bluegod Enterta.,539175,
Bluestone Jewel,544484,BLUESTONE
Bluspring Enter.,544414,BLUSPRING
BMW Industries,542669,
BMW Ventures,544543,BMWVENTLTD
BN Agrochem,526125,
BNR Udyog,530809,
Bodal Chemicals,524370,BODALCHEM
Bodhi Tree,543767,BTML
Bodhtree Consul.,539122,
Bohra Industries,,BOHRAIND
Bombay Cycle,501430,
Bombay Dyeing,500020,BOMDYEING
Bombay Metrics,,BMETRICS
Bombay Oxygen,509470,
Bombay Super Hyb,,BSHSL
Bombay Talkies,511246,
Bombay Wire,504648,
Bondada Engineer,543971,
Bonlon Industrie,543211,
Borana Weaves,544404,BORANA
Borosil,543212,BOROLTD
Borosil Renew.,502219,BORORENEW
Borosil Scienti.,544184,BOROSCI
Bosch,500530,BOSCHLTD
Boss Packaging,,BOSS
Boston Bio,531458,
BPL,500074,BPL
Brace Port,,BRACEPORT
Brady & Morris,505690,
Brahmaputra Inf.,535693,
Brainbees Solut.,544226,FIRSTCRY
Brand Concepts,543442,BCONCEPTS
Brawn Biotech,530207,
Bridge Securitie,530249,
Brigade Enterpr.,532929,BRIGADE
Brigade Hotel,544457,BRIGHOTEL
Bright Brothers,526731,
Bright Outdoor,543831,
Brightcom Group,532368,BCG
Brijlaxmi Leas.,532113,
Brisk Technovisi,544101,
Britannia Inds.,500825,BRITANNIA
Broach Lifecare,544231,
Brookfield India,543261,BIRET
Brooks Lab.,533543,BROOKS
BSE,,BSE
BSEL ALGO,532123,
BSL,514045,BSL
Bulkcorp Inter.,,BULKCORP
Butterfly Gan Ap,517421,BUTTERFLY
C C C L,532902,CCCL
C D S L,,CDSL
C J Gelatine,507515,
C P C L,500110,CHENNPETRO
C P S Shapers,,CPS
C.E. Info System,543425,MAPMYINDIA
C2C Advanced,,C2C
Cadsys (India),,CADSYS
Calcom Vision,517236,
California Soft.,532386,CALSOFT
Callista Indus.,539335,
Cambridge Tech.,532801,CTE
Camex,524440,
Camlin Fine,532834,CAMLINFINE
Campus Activewe.,543523,CAMPUS
Cams Services,543232,CAMS
Can Fin Homes,511196,CANFINHOME
Canara Bank,532483,CANBK
Canara HSBC,544583,CANHLIFE
Canara Robeco,544580,CRAMC
Canarys Automa.,,CANARYS
Candour Techtex,522292,
Cantabil Retail,533267,CANTABIL
Capacit'e Infra.,540710,CAPACITE
Capfin India,539198,
Capillary Tech.,544614,CAPILLARY
Capital India,530879,CIFL
Capital Infra,544338,CAPINVIT
Capital Small,544120,CAPITALSFB
Capital Trade Lk,538476,
Capital Trust,511505,CAPTRUST
CapitalNumbers,544343,
Caplin Point Lab,524742,CAPLIPOINT
Capri Global,531595,CGCL
Capricorn System,512169,
Caprihans India,509486,
Caprolactam Chem,507486,
Captain Pipes,538817,
Captain Polyplas,536974,
Captain Techno.,540652,
Carborundum Uni.,513375,CARBORUNIV
CARE Ratings,534804,CARERATING
Career Point Edu,544499,CPEDU
Cargotrans Marit,543618,
Carnation Inds.,530609,
Carraro India,544320,CARRARO
Cartrade Tech,543333,CARTRADE
Carysil,524091,CARYSIL
Cash UR Drive,,CUDML
Caspian Corporat,534732,
Castrol India,500870,CASTROLIND
Catvision Ltd,531158,
CCL Internationa,531900,
CCL Products,519600,CCL
CDG Petchem,534796,
CEAT,500878,CEATLTD
Cedaar Textile,,CEDAAR
Ceejay Finance,530789,
Ceenik Exports,531119,
Ceeta Industries,514171,
Ceigall India,544223,CEIGALL
Ceinsys Tech,538734,
Celebrity Fash.,532695,CELEBRITY
Cell Point,,CELLPOINT
Cella Space,532701,
Cellecor Gadgets,,CELLECOR
Cello World,544012,CELLO
Cemantic Infra,538596,
Cemindia Project,509496,CEMPRO
Cenlub Industrie,522251,
Centenial Surgic,531380,
Central Bank,532885,CENTRALBK
Centrum Capital,501150,CENTRUM
Centum Electron,517544,CENTUM
Century Enka,500280,CENTENKA
Century Extrus.,500083,CENTEXT
Century Plyboard,532548,CENTURYPLY
Cera Sanitary.,532443,CERA
Cerebra Integr.,532413,CEREBRAINT
CESC,500084,CESC
CFF Fluid,543920,
CG Power & Ind,500093,CGPOWER
CG-VAK Software,531489,
Chalet Hotels,542399,CHALET
Challani Capital,530747,
Chaman Metallics,,CMNL
Chamanlal Setia,530307,CLSEL
Chambal Brewer,512301,
Chambal Fert.,500085,CHAMBLFERT
Chamunda Ele.,,CHAMUNDA
Chandan Healthca,,CHANDAN
Chandni Machines,542627,
Chandra Bhagat,542934,
Chandra Pr. Intl,530309,
Chandrima Mercan,540829,
Charms Industrie,531327,
Chart.Logistics,531977,
Charter. Capital,511696,
Chatha Foods,544151,
Chatterbox Tech,544546,
Chavda Infra Ltd,,CHAVDA
CHD Chemicals,539800,
Checkpoint Trend,531099,
Chembond Chemic.,544450,CHEMBONDCH
Chembond Materi.,530871,CHEMBOND
Chemcon Special.,543233,CHEMCON
Chemcrux Enterp.,540395,
Chemfab Alka.,541269,CHEMFAB
Chemkart India,544442,
Chemplast Sanmar,543336,CHEMPLASTS
Chemtech Indust.,537326,
